"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 13:17:16 GMT 2023","Fri Mar 10 13:17:32 GMT 2023","16574","","Login cases","","Login cases","Sign in on the 'Login' screen","Sign in on the 'Login' screen",""
"passed","Fri Mar 10 13:16:56 GMT 2023","Fri Mar 10 13:17:07 GMT 2023","11124","","Login cases","","Login cases","Sign in on the 'Login' screen","Sign in on the 'Login' screen",""
"passed","Fri Mar 10 13:16:35 GMT 2023","Fri Mar 10 13:16:49 GMT 2023","13903","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Fri Mar 10 13:18:43 GMT 2023","Fri Mar 10 13:19:25 GMT 2023","41243","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Fri Mar 10 13:17:35 GMT 2023","Fri Mar 10 13:17:45 GMT 2023","10166","","Sign in cases","","Sign in cases","Sign up on the 'Login' screen","Sign up on the 'Login' screen",""
"passed","Fri Mar 10 13:16:16 GMT 2023","Fri Mar 10 13:16:27 GMT 2023","10669","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Fri Mar 10 13:15:30 GMT 2023","Fri Mar 10 13:15:48 GMT 2023","17670","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the 'Drag' screen","Compare puzzle's pieces into image on the 'Drag' screen",""
"passed","Fri Mar 10 13:18:12 GMT 2023","Fri Mar 10 13:18:33 GMT 2023","21524","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Fri Mar 10 13:15:31 GMT 2023","Fri Mar 10 13:16:09 GMT 2023","37338","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the 'Drag' screen","Compare puzzle's pieces into image on the 'Drag' screen",""
"passed","Fri Mar 10 13:17:58 GMT 2023","Fri Mar 10 13:18:15 GMT 2023","17138","","Sign in cases","","Sign in cases","Sign up on the 'Login' screen","Sign up on the 'Login' screen",""
