"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 20:56:00 GMT 2023","Thu Mar 02 20:56:14 GMT 2023","13897","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"passed","Thu Mar 02 20:54:35 GMT 2023","Thu Mar 02 20:54:47 GMT 2023","12338","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"broken","Thu Mar 02 20:54:17 GMT 2023","Thu Mar 02 20:54:47 GMT 2023","30637","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Thu Mar 02 20:55:19 GMT 2023","Thu Mar 02 20:55:28 GMT 2023","9180","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"passed","Thu Mar 02 20:51:13 GMT 2023","Thu Mar 02 20:51:32 GMT 2023","18308","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Thu Mar 02 20:57:34 GMT 2023","Thu Mar 02 20:58:12 GMT 2023","38430","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Thu Mar 02 20:55:15 GMT 2023","Thu Mar 02 20:55:33 GMT 2023","17757","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Thu Mar 02 20:56:48 GMT 2023","Thu Mar 02 20:57:07 GMT 2023","19171","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"broken","Thu Mar 02 20:59:30 GMT 2023","Thu Mar 02 20:59:40 GMT 2023","10886","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Thu Mar 02 20:56:04 GMT 2023","Thu Mar 02 20:56:19 GMT 2023","14928","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
