"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 02 20:33:45 GMT 2023","Thu Mar 02 20:33:56 GMT 2023","10953","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Thu Mar 02 20:33:58 GMT 2023","Thu Mar 02 20:34:14 GMT 2023","15770","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Thu Mar 02 20:32:48 GMT 2023","Thu Mar 02 20:33:08 GMT 2023","20323","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"broken","Thu Mar 02 20:32:49 GMT 2023","Thu Mar 02 20:33:27 GMT 2023","37703","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Thu Mar 02 20:35:31 GMT 2023","Thu Mar 02 20:35:50 GMT 2023","19105","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"passed","Thu Mar 02 20:35:57 GMT 2023","Thu Mar 02 20:36:24 GMT 2023","26304","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Thu Mar 02 20:36:20 GMT 2023","Thu Mar 02 20:36:57 GMT 2023","36182","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"broken","Thu Mar 02 20:34:34 GMT 2023","Thu Mar 02 20:34:45 GMT 2023","11198","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"passed","Thu Mar 02 20:34:41 GMT 2023","Thu Mar 02 20:35:00 GMT 2023","18984","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"passed","Thu Mar 02 20:35:17 GMT 2023","Thu Mar 02 20:35:29 GMT 2023","11159","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
